geoid,county_name,category,poverty,alice,above_alice
48393,Roberts,over_65,,,
48395,Robertson,single_cohab,,,
48395,Robertson,fam_kids,,,
48395,Robertson,over_65,,,
48397,Rockwall,single_cohab,,,
48397,Rockwall,fam_kids,,,
48397,Rockwall,over_65,,,
48399,Runnels,single_cohab,,,
48399,Runnels,fam_kids,,,
48399,Runnels,over_65,,,
48401,Rusk,single_cohab,,,
48401,Rusk,fam_kids,,,
48401,Rusk,over_65,,,
48403,Sabine,single_cohab,,,
48403,Sabine,fam_kids,,,
48403,Sabine,over_65,,,
48405,San Augustine,single_cohab,,,
48405,San Augustine,fam_kids,,,
48405,San Augustine,over_65,,,
48407,San Jacinto,single_cohab,,,
48407,San Jacinto,fam_kids,,,
48407,San Jacinto,over_65,,,
48409,San Patricio,single_cohab,,,
48409,San Patricio,fam_kids,,,
48409,San Patricio,over_65,,,
48411,San Saba,single_cohab,,,
48411,San Saba,fam_kids,,,
48411,San Saba,over_65,,,
48413,Schleicher,single_cohab,,,
48413,Schleicher,fam_kids,,,
48413,Schleicher,over_65,,,
48415,Scurry,single_cohab,,,
48415,Scurry,fam_kids,,,
48415,Scurry,over_65,,,
48417,Shackelford,single_cohab,,,
48417,Shackelford,fam_kids,,,
48417,Shackelford,over_65,,,
48419,Shelby,single_cohab,,,
48419,Shelby,fam_kids,,,
48419,Shelby,over_65,,,
48421,Sherman,single_cohab,,,
48421,Sherman,fam_kids,,,
48421,Sherman,over_65,,,
48423,Smith,single_cohab,,,
48423,Smith,fam_kids,,,
48423,Smith,over_65,,,
48425,Somervell,single_cohab,,,
48425,Somervell,fam_kids,,,
48425,Somervell,over_65,,,
48427,Starr,single_cohab,,,
48427,Starr,fam_kids,,,
48427,Starr,over_65,,,
48429,Stephens,single_cohab,,,
48429,Stephens,fam_kids,,,
48429,Stephens,over_65,,,
48431,Sterling,single_cohab,,,
48431,Sterling,fam_kids,,,
48431,Sterling,over_65,,,
48433,Stonewall,single_cohab,,,
48433,Stonewall,fam_kids,,,
48433,Stonewall,over_65,,,
48435,Sutton,single_cohab,,,
48435,Sutton,fam_kids,,,
48435,Sutton,over_65,,,
48437,Swisher,single_cohab,,,
48437,Swisher,fam_kids,,,
48437,Swisher,over_65,,,
48439,Tarrant,single_cohab,,,
48439,Tarrant,fam_kids,,,
48439,Tarrant,over_65,,,
48441,Taylor,single_cohab,,,
48441,Taylor,fam_kids,,,
48441,Taylor,over_65,,,
48443,Terrell,single_cohab,,,
48443,Terrell,fam_kids,,,
48443,Terrell,over_65,,,
48445,Terry,single_cohab,,,
48445,Terry,fam_kids,,,
48445,Terry,over_65,,,
48447,Throckmorton,single_cohab,,,
48447,Throckmorton,fam_kids,,,
48447,Throckmorton,over_65,,,
48449,Titus,single_cohab,,,
48449,Titus,fam_kids,,,
48449,Titus,over_65,,,
48451,Tom Green,single_cohab,,,
48451,Tom Green,fam_kids,,,
48451,Tom Green,over_65,,,
48453,Travis,single_cohab,,,
48453,Travis,fam_kids,,,
48453,Travis,over_65,,,
48455,Trinity,single_cohab,,,
48455,Trinity,fam_kids,,,
48455,Trinity,over_65,,,
48457,Tyler,single_cohab,,,
48457,Tyler,fam_kids,,,
48457,Tyler,over_65,,,
48459,Upshur,single_cohab,,,
48459,Upshur,fam_kids,,,
48459,Upshur,over_65,,,
48461,Upton,single_cohab,,,
48461,Upton,fam_kids,,,
48461,Upton,over_65,,,
48463,Uvalde,single_cohab,,,
48463,Uvalde,fam_kids,,,
48463,Uvalde,over_65,,,
48465,Val Verde,single_cohab,,,
48465,Val Verde,fam_kids,,,
48465,Val Verde,over_65,,,
48467,Van Zandt,single_cohab,,,
48467,Van Zandt,fam_kids,,,
48467,Van Zandt,over_65,,,
48469,Victoria,single_cohab,,,
48469,Victoria,fam_kids,,,
48469,Victoria,over_65,,,
48471,Walker,single_cohab,,,
48471,Walker,fam_kids,,,
48471,Walker,over_65,,,
48473,Waller,single_cohab,,,
48473,Waller,fam_kids,,,
48473,Waller,over_65,,,
48475,Ward,single_cohab,,,
48475,Ward,fam_kids,,,
48475,Ward,over_65,,,
48477,Washington,single_cohab,,,
48477,Washington,fam_kids,,,
48477,Washington,over_65,,,
48479,Webb,single_cohab,,,
48479,Webb,fam_kids,,,
48479,Webb,over_65,,,
48481,Wharton,single_cohab,,,
48481,Wharton,fam_kids,,,
48481,Wharton,over_65,,,
48483,Wheeler,single_cohab,,,
48483,Wheeler,fam_kids,,,
48483,Wheeler,over_65,,,
48485,Wichita,single_cohab,,,
48485,Wichita,fam_kids,,,
48485,Wichita,over_65,,,
48487,Wilbarger,single_cohab,,,
48487,Wilbarger,fam_kids,,,
48487,Wilbarger,over_65,,,
48489,Willacy,single_cohab,,,
48489,Willacy,fam_kids,,,
48489,Willacy,over_65,,,
48491,Williamson,single_cohab,,,
48491,Williamson,fam_kids,,,
48491,Williamson,over_65,,,
48493,Wilson,single_cohab,,,
48493,Wilson,fam_kids,,,
48493,Wilson,over_65,,,
48495,Winkler,single_cohab,,,
48495,Winkler,fam_kids,,,
48495,Winkler,over_65,,,
48497,Wise,single_cohab,,,
48497,Wise,fam_kids,,,
48497,Wise,over_65,,,
48499,Wood,single_cohab,,,
48499,Wood,fam_kids,,,
48499,Wood,over_65,,,
48501,Yoakum,single_cohab,,,
48501,Yoakum,fam_kids,,,
48501,Yoakum,over_65,,,
48503,Young,single_cohab,,,
48503,Young,fam_kids,,,
48503,Young,over_65,,,
48505,Zapata,single_cohab,,,
48505,Zapata,fam_kids,,,
48505,Zapata,over_65,,,
48507,Zavala,single_cohab,,,
48507,Zavala,fam_kids,,,
48507,Zavala,over_65,,,
