geoid,county_name,category,poverty,alice,above_alice
48271,Kinney,single_cohab,43,273,199
48271,Kinney,fam_kids,59,67,37
48271,Kinney,over_65,38,301,153
48273,Kleberg,single_cohab,1202,1523,2609
48273,Kleberg,fam_kids,1032,361,1774
48273,Kleberg,over_65,452,1138,855
48275,Knox,single_cohab,54,183,299
48275,Knox,fam_kids,91,85,175
48275,Knox,over_65,74,180,189
48283,La Salle,single_cohab,109,345,350
48283,La Salle,fam_kids,122,211,299
48283,La Salle,over_65,178,291,311
48277,Lamar,single_cohab,1458,1737,5123
48277,Lamar,fam_kids,1402,930,2961
48277,Lamar,over_65,761,2605,2336
48279,Lamb,single_cohab,325,463,1211
48279,Lamb,fam_kids,496,338,694
48279,Lamb,over_65,196,604,427
48281,Lampasas,single_cohab,455,696,2115
48281,Lampasas,fam_kids,281,292,1639
48281,Lampasas,over_65,239,567,1454
48285,Lavaca,single_cohab,341,473,1880
48285,Lavaca,fam_kids,399,412,1495
48285,Lavaca,over_65,307,964,1485
48287,Lee,single_cohab,496,564,1514
48287,Lee,fam_kids,332,403,1031
48287,Lee,over_65,178,636,950
48289,Leon,single_cohab,305,768,1360
48289,Leon,fam_kids,358,233,733
48289,Leon,over_65,318,871,1303
48291,Liberty,single_cohab,1496,4555,5724
48291,Liberty,fam_kids,1476,2744,3525
48291,Liberty,over_65,862,3450,2371
48293,Limestone,single_cohab,411,1340,1636
48293,Limestone,fam_kids,711,618,884
48293,Limestone,over_65,329,1045,1195
48295,Lipscomb,single_cohab,64,136,359
48295,Lipscomb,fam_kids,59,55,262
48295,Lipscomb,over_65,31,114,176
48297,Live Oak,single_cohab,151,568,760
48297,Live Oak,fam_kids,140,214,472
48297,Live Oak,over_65,149,464,757
48299,Llano,single_cohab,325,720,1791
48299,Llano,fam_kids,166,384,688
48299,Llano,over_65,450,1577,2390
48301,Loving,single_cohab,,,
48301,Loving,fam_kids,,,
48301,Loving,over_65,,,
48303,Lubbock,single_cohab,13681,20553,27644
48303,Lubbock,fam_kids,5434,6931,18113
48303,Lubbock,over_65,2150,7694,13486
48305,Lynn,single_cohab,78,304,446
48305,Lynn,fam_kids,195,152,285
48305,Lynn,over_65,145,234,294
