"Job name","% of total workforce","FTEs","Automatable FTEs","Automatable %","Augmentable FTEs","Augmentable %","Unimpacted FTEs","Unimpacted %"
"Self-Enrichment Teachers","0.099","12345.25","732.026","5.93","7727.357","62.594","3885.867","31.477"
"Medical and Health Services Managers","0.28","35010.85","0","0","8325.22","23.779","26685.63","76.221"
"Coaches and Scouts","0.122","15194.43","1253.479","8.25","7032.649","46.284","6908.302","45.466"
"Human Resources Assistants, Except Payroll and Timekeeping","0.088","10971","4244.191","38.686","3972.089","36.205","2754.721","25.109"
"Emergency Medical Technicians and Paramedics","0.154","19282.43","2285.961","11.855","5801.892","30.089","11194.576","58.056"
"Mobile Heavy Equipment Mechanics, Except Engines","0.147","18308.82","5783.776","31.59","2158.667","11.79","10366.377","56.62"
"Interviewers, Except Eligibility and Loan","0.086","10748.44","6765.869","62.947","1105.974","10.29","2876.598","26.763"
"Bus Drivers, Transit and Intercity","0.085","10674.64","7779.84","72.882","26.466","0.248","2868.334","26.871"
"Graphic Designers","0.107","13384","0","0","7704.8","57.567","5679.2","42.433"
"Structural Metal Fabricators and Fitters","0.082","10259.92","6453.594","62.901","1248.578","12.169","2557.747","24.93"
"Firefighters","0.147","18412.58","1558.815","8.466","6142.649","33.361","10711.116","58.173"
"Production Workers, All Other","0.076","9501.77","7624.481","80.243","0","0","1877.289","19.757"
"Food Service Managers","0.127","15797.16","4418.148","27.968","3194.306","20.221","8184.705","51.811"
"First-Line Supervisors of Personal Service and Entertainment and Recreation Workers, Except Gambling Services","0.12","14940.17","722.226","4.834","6856.944","45.896","7361","49.27"
"Sewing Machine Operators","0.075","9313","7538.648","80.948","0","0","1774.352","19.052"
"Information Security Analysts","0.083","10384.12","2286.107","22.015","5232.666","50.391","2865.347","27.594"
"Agricultural Equipment Operators","0.104","13004.4","6258.074","48.123","1249.103","9.605","5497.223","42.272"
"Recreation Workers","0.165","20590.7","1539.716","7.478","5895.208","28.63","13155.776","63.892"
"Food Batchmakers","0.085","10664.31","6943.937","65.114","456.004","4.276","3264.369","30.61"
"Printing Press Operators","0.078","9763.54","6757.855","69.215","473.726","4.852","2531.958","25.933"
"Marketing Managers","0.128","16043.94","1028.475","6.41","6055.833","37.745","8959.633","55.844"
"Parking Attendants","0.084","10544.1","6507.239","61.715","560.169","5.313","3476.693","32.973"
"Electrical Engineers","0.12","15042.21","952.232","6.33","6040.612","40.158","8049.366","53.512"
"Career/Technical Education Teachers, Secondary School","0.103","12879.31","570.211","4.427","6412.088","49.786","5897.011","45.787"
"Cabinetmakers and Bench Carpenters","0.072","8970.73","5349.062","59.628","1618.951","18.047","2002.718","22.325"
"Ushers, Lobby Attendants, and Ticket Takers","0.083","10402.89","6643.144","63.859","315.265","3.031","3444.481","33.111"
"Computer Numerically Controlled Tool Operators","0.082","10182.91","6873.186","67.497","74.583","0.732","3235.141","31.77"
"Speech-Language Pathologists","0.125","15578.49","0","0","6907.95","44.343","8670.54","55.657"
"Teaching Assistants, Postsecondary","0.082","10193.91","1756.852","17.234","5143.088","50.453","3293.969","32.313"
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic","0.072","9033.94","6620.322","73.283","238.883","2.644","2174.736","24.073"
"Radiologic Technologists and Technicians","0.138","17261.1","2848.276","16.501","3993.761","23.137","10419.063","60.362"
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","0.093","11592.61","5072.81","43.759","1643.688","14.179","4876.111","42.062"
"Animal Caretakers","0.141","17548.67","2199.607","12.534","4478.218","25.519","10870.845","61.947"
"Computer Network Architects","0.103","12844.86","854.985","6.656","5735.718","44.654","6254.157","48.69"
"Industrial Production Managers","0.113","14140.77","2490.555","17.613","4066.862","28.76","7583.353","53.628"
"Structural Iron and Steel Workers","0.078","9801.93","3661.823","37.358","2892.582","29.51","3247.525","33.131"
"Petroleum Pump System Operators, Refinery Operators, and Gaugers","0.096","11991.62","6216.457","51.84","312.414","2.605","5462.75","45.555"
"Helpers--Installation, Maintenance, and Repair Workers","0.126","15759.13","5304.952","33.663","1172.845","7.442","9281.333","58.895"
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters","0.101","12627.46","4299.948","34.052","2171.848","17.199","6155.664","48.748"
"Logisticians","0.124","15480.45","996.615","6.438","5465.664","35.307","9018.171","58.255"
"Architectural and Civil Drafters","0.088","11004.74","539.898","4.906","5865.794","53.302","4599.049","41.792"
"Career/Technical Education Teachers, Postsecondary","0.087","10802.77","375.885","3.48","6018.675","55.714","4408.21","40.806"
"Helpers--Electricians","0.094","11751.7","3094.279","26.33","3274.16","27.861","5383.261","45.808"
"Electronics Engineers, Except Computer","0.096","11953.93","1254.375","10.493","5094.532","42.618","5605.024","46.889"
"Court, Municipal, and License Clerks","0.069","8611.09","5687.265","66.046","578.975","6.724","2344.85","27.231"
"Nurse Practitioners","0.109","13607.29","2658.293","19.536","3589.1","26.376","7359.897","54.088"
"Librarians and Media Collections Specialists","0.075","9420.91","3589.836","38.105","2640.837","28.032","3190.238","33.863"
"Computer, Automated Teller, and Office Machine Repairers","0.075","9341.07","5135.815","54.981","1030.996","11.037","3174.26","33.982"
"Automotive Body and Related Repairers","0.094","11768.04","4296.762","36.512","1748.67","14.859","5722.609","48.628"
"Detectives and Criminal Investigators","0.093","11631.3","2582.562","22.204","3461.324","29.759","5587.414","48.038"
"Sales Engineers","0.071","8922.15","1433.008","16.061","4609.053","51.659","2880.089","32.28"
"Refuse and Recyclable Material Collectors","0.062","7764.23","6002.49","77.31","0","0","1761.74","22.69"
"Web Developers and Digital Interface Designers","0.071","8832.4","1468.027","16.621","4498.88","50.936","2865.493","32.443"
"Electrical Power-Line Installers and Repairers","0.108","13424.81","1331.79","9.92","4524.097","33.7","7568.923","56.38"
"First-Line Supervisors of Housekeeping and Janitorial Workers","0.083","10424.91","1745.426","16.743","4049.345","38.843","4630.139","44.414"
