"Job name","% of total workforce","FTEs","Automatable FTEs","Automatable %","Augmentable FTEs","Augmentable %","Unimpacted FTEs","Unimpacted %"
"Bus Drivers, Transit and Intercity","0.683","3578.72","2602.264","72.715","8.755","0.245","967.702","27.04"
"Social and Human Service Assistants","0.909","4762.4","1031.553","21.66","1541.587","32.37","2189.26","45.97"
"Human Resources Specialists","0.629","3294.92","863.538","26.208","1538.464","46.692","892.918","27.1"
"Lawyers","1.185","6209.11","0","0","2392.204","38.527","3816.906","61.473"
"Probation Officers and Correctional Treatment Specialists","1.014","5309.24","0","0","2200.574","41.448","3108.666","58.552"
"Landscaping and Groundskeeping Workers","0.624","3267.22","846.874","25.92","1322.357","40.473","1097.989","33.606"
"Computer Occupations, All Other","0.712","3731.02","617.666","16.555","1441.881","38.646","1671.473","44.799"
"Water and Wastewater Treatment Plant and System Operators","0.992","5198.49","1010.764","19.443","1047.539","20.151","3140.187","60.406"
"Claims Adjusters, Examiners, and Investigators","0.514","2692.71","492.691","18.297","1445.287","53.674","754.733","28.029"
"Administrative Services and Facilities Managers","0.657","3440.27","531.351","15.445","1383.524","40.216","1525.394","44.339"
"Buyers and Purchasing Agents","0.497","2602.73","1034.324","39.74","844.401","32.443","724.006","27.817"
"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other","0.436","2284.31","482.881","21.139","1353.486","59.251","447.943","19.61"
"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other","0.847","4437.06","341.917","7.706","1469.653","33.122","2625.491","59.172"
"First-Line Supervisors of Police and Detectives","0.749","3924.82","746.083","19.009","979.667","24.961","2199.07","56.03"
"First-Line Supervisors of Mechanics, Installers, and Repairers","0.6","3140.91","746.603","23.77","941.855","29.987","1452.452","46.243"
"Management Analysts","0.618","3239.55","0","0","1673.434","51.656","1566.116","48.344"
"Civil Engineering Technologists and Technicians","0.502","2630.4","632.467","24.045","968.773","36.83","1029.16","39.126"
"Civil Engineers","0.698","3654.86","405.675","11.1","1080.317","29.558","2168.868","59.342"
"Transportation Security Screeners","0.493","2581.93","1102.115","42.686","251.903","9.756","1227.912","47.558"
"Property Appraisers and Assessors","0.316","1654.37","424.114","25.636","898.574","54.315","331.682","20.049"
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","0.551","2886.5","431.822","14.96","860.652","29.816","1594.026","55.223"
"First-Line Supervisors of Correctional Officers","0.555","2907.27","449.213","15.451","797.472","27.43","1660.585","57.118"
"Refuse and Recyclable Material Collectors","0.33","1730.52","1234.416","71.332","0","0","496.104","28.668"
"Construction and Building Inspectors","0.563","2948.82","487.297","16.525","705.929","23.939","1755.594","59.535"
"Licensed Practical and Licensed Vocational Nurses","0.514","2692.7","499.482","18.549","663.605","24.645","1529.613","56.806"
"Stockers and Order Fillers","0.289","1515.96","1091.698","72.014","50.327","3.32","373.935","24.667"
"Library Assistants, Clerical","0.3","1571.32","1080.422","68.759","34.005","2.164","456.894","29.077"
"First-Line Supervisors of Firefighting and Prevention Workers","0.428","2242.75","347.752","15.506","723.877","32.276","1171.122","52.218"
"Recreation Workers","0.558","2921.13","218.671","7.486","838.59","28.708","1863.869","63.806"
"Billing and Posting Clerks","0.217","1135.22","921.888","81.208","60.654","5.343","152.678","13.449"
"Librarians and Media Collections Specialists","0.28","1467.48","557.787","38.01","410.164","27.95","499.528","34.04"
"Emergency Medical Technicians and Paramedics","0.441","2311.97","271.758","11.754","690.51","29.867","1349.702","58.379"
"Paralegals and Legal Assistants","0.3","1571.32","777.332","49.47","158.056","10.059","635.932","40.471"
"Computer Systems Analysts","0.462","2422.72","174.615","7.207","753.621","31.106","1494.484","61.686"
"Conveyor Operators and Tenders","0.281","1472.73","894.752","60.755","24.818","1.685","553.16","37.56"
"Budget Analysts","0.204","1066.01","178.258","16.722","730.263","68.504","157.489","14.774"
"Substance Abuse, Behavioral Disorder, and Mental Health Counselors","0.4","2097.4","118.398","5.645","783.464","37.354","1195.538","57.001"
"Library Technicians","0.227","1190.58","842.916","70.799","37.264","3.13","310.401","26.071"
"Construction Laborers","0.263","1377.5","448.855","32.585","419.448","30.45","509.197","36.965"
"Financial Managers","0.271","1419.02","486.556","34.288","365.757","25.775","566.707","39.937"
"Public Relations Specialists","0.303","1585.14","254.431","16.051","595.672","37.579","735.037","46.37"
"Network and Computer Systems Administrators","0.197","1031.38","151.524","14.691","661.864","64.173","217.992","21.136"
"Shipping, Receiving, and Inventory Clerks","0.2","1046.97","745.245","71.181","67.098","6.409","234.627","22.41"
"Human Resources Assistants, Except Payroll and Timekeeping","0.211","1107.55","422.071","38.109","389.734","35.189","295.745","26.703"
"Industrial Truck and Tractor Operators","0.232","1216.6","578.512","47.552","226.714","18.635","411.374","33.813"
"Mental Health and Substance Abuse Social Workers","0.338","1772.04","0","0","763.954","43.112","1008.086","56.888"
"Receptionists and Information Clerks","0.177","927.55","677.447","73.036","69.08","7.448","181.024","19.516"
"Physicians, All Other; and Ophthalmologists, Except Pediatric","0.346","1813.59","208.354","11.489","528.885","29.162","1076.35","59.349"
"Tutors and Teachers and Instructors, All Other","0.206","1079.85","64.818","6.003","664.461","61.533","350.571","32.465"
