"Job name","% of total workforce","FTEs","Automatable FTEs","Automatable %","Augmentable FTEs","Augmentable %","Unimpacted FTEs","Unimpacted %"
"Surgical Technologists","0.139","30.34","5.753","18.963","5.441","17.935","19.145","63.102"
"Psychiatric Aides","0.126","27.53","3.49","12.677","7.405","26.898","16.635","60.425"
"Food Processing Workers, All Other","0.059","12.87","10.729","83.368","0","0","2.141","16.632"
"Buyers and Purchasing Agents","0.063","13.8","5.682","41.174","4.792","34.727","3.326","24.099"
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic","0.062","13.49","10.302","76.367","0.076","0.563","3.112","23.07"
"Passenger Vehicle Drivers, Except Bus Drivers, Transit and Intercity","0.062","13.58","10.327","76.047","0","0","3.253","23.953"
"Recreation Workers","0.129","28.18","2.11","7.486","8.09","28.708","17.981","63.806"
"Occupational Therapy Assistants","0.108","23.49","0.956","4.069","9.198","39.156","13.336","56.775"
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers","0.062","13.51","3.799","28.122","6.279","46.48","3.431","25.397"
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","0.064","13.98","9.912","70.901","0","0","4.068","29.099"
"Grinding and Polishing Workers, Hand","0.06","13.1","9.437","72.037","0.451","3.446","3.212","24.516"
"Preschool Teachers, Except Special Education","0.164","35.65","1.631","4.576","8.217","23.048","25.802","72.376"
"Sales Managers","0.102","22.18","1.059","4.775","8.71","39.27","12.411","55.955"
"Cutting and Slicing Machine Setters, Operators, and Tenders","0.059","12.78","9.064","70.926","0.609","4.768","3.106","24.306"
"Automotive and Watercraft Service Attendants","0.06","13.14","7.398","56.299","2.003","15.245","3.739","28.457"
"Interviewers, Except Eligibility and Loan","0.059","12.87","8.081","62.787","1.313","10.2","3.477","27.013"
"Residential Advisors","0.096","20.99","3.635","17.32","5.528","26.337","11.826","56.343"
"Software Developers and Software Quality Assurance Analysts and Testers","0.086","18.81","0.522","2.774","8.441","44.877","9.847","52.349"
"Machine Feeders and Offbearers","0.051","11.09","7.822","70.534","0.708","6.384","2.56","23.082"
"Parking Attendants","0.054","11.68","7.811","66.872","0.71","6.078","3.159","27.05"
"First-Line Supervisors of Non-Retail Sales Workers","0.088","19.08","0.913","4.784","7.509","39.354","10.658","55.862"
"Nurse Practitioners","0.083","18.19","3.549","19.509","4.777","26.261","9.865","54.231"
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic","0.053","11.46","8.294","72.372","0","0","3.166","27.628"
"Orderlies","0.062","13.42","7.561","56.344","0.672","5.008","5.186","38.647"
"Food Cooking Machine Operators and Tenders","0.048","10.56","7.735","73.252","0.428","4.05","2.397","22.697"
"Information and Record Clerks, All Other","0.043","9.35","8","85.566","0.136","1.456","1.213","12.978"
"Physical Therapists","0.101","22.04","1.959","8.887","6.041","27.409","14.04","63.704"
"Correctional Officers and Jailers","0.063","13.79","4.656","33.761","3.241","23.499","5.894","42.74"
"Teaching Assistants, Except Postsecondary","0.063","13.64","3.05","22.36","4.463","32.717","6.127","44.923"
"Pharmacy Aides","0.041","9","6.377","70.86","1.043","11.592","1.579","17.548"
"Demonstrators and Product Promoters","0.056","12.14","1.272","10.48","6.101","50.259","4.766","39.261"
"Cabinetmakers and Bench Carpenters","0.042","9.12","5.503","60.336","1.689","18.515","1.929","21.149"
"Structural Metal Fabricators and Fitters","0.042","9.09","5.842","64.27","1.142","12.565","2.106","23.166"
"Computer User Support Specialists","0.056","12.29","3.88","31.573","2.978","24.234","5.431","44.193"
"Miscellaneous First-Line Supervisors, Protective Service Workers","0.058","12.73","0.63","4.946","6.219","48.853","5.881","46.202"
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders","0.041","8.88","6.226","70.109","0.464","5.224","2.19","24.667"
"Ophthalmic Medical Technicians","0.089","19.44","4.905","25.231","1.663","8.556","12.872","66.214"
"Respiratory Therapists","0.079","17.23","1.248","7.246","5.294","30.728","10.687","62.026"
"Speech-Language Pathologists","0.067","14.6","0","0","6.473","44.333","8.127","55.667"
"Cardiovascular Technologists and Technicians","0.074","16.05","5.137","32.007","1.091","6.798","9.822","61.196"
"Diagnostic Medical Sonographers","0.07","15.2","2.695","17.73","3.245","21.351","9.26","60.919"
"Couriers and Messengers","0.034","7.39","5.927","80.209","0","0","1.463","19.791"
"Word Processors and Typists","0.029","6.41","5.534","86.336","0.285","4.446","0.591","9.219"
"Chefs and Head Cooks","0.084","18.3","2.129","11.632","3.633","19.851","12.539","68.517"
"Tree Trimmers and Pruners","0.035","7.63","3.719","48.738","1.979","25.933","1.933","25.329"
"Engine and Other Machine Assemblers","0.039","8.47","4.366","51.549","1.318","15.557","2.786","32.894"
"Industrial Engineers","0.05","10.82","1.716","15.862","3.915","36.181","5.189","47.956"
"Merchandise Displayers and Window Trimmers","0.041","8.99","0.46","5.121","5.109","56.826","3.421","38.053"
"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other","0.057","12.45","1.025","8.232","4.529","36.378","6.896","55.39"
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic","0.032","6.91","5.404","78.203","0.09","1.306","1.416","20.491"
"Graders and Sorters, Agricultural Products","0.029","6.36","5.455","85.777","0","0","0.905","14.223"
"Computer and Information Systems Managers","0.038","8.37","0.113","1.35","5.298","63.296","2.959","35.355"
"Market Research Analysts and Marketing Specialists","0.036","7.76","0","0","5.398","69.562","2.362","30.438"
"Healthcare Social Workers","0.061","13.31","0.582","4.37","4.75","35.685","7.979","59.945"
"Network and Computer Systems Administrators","0.03","6.54","0.979","14.976","4.314","65.96","1.247","19.063"
"Occupational Therapists","0.057","12.32","1.719","13.955","3.555","28.856","7.046","57.189"
"Industrial Production Managers","0.05","10.85","1.935","17.83","3.16","29.125","5.755","53.045"
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders","0.033","7.21","4.882","67.706","0.181","2.513","2.147","29.781"
"Substance Abuse, Behavioral Disorder, and Mental Health Counselors","0.053","11.6","0.656","5.653","4.347","37.473","6.597","56.874"
"Physician Assistants","0.05","10.82","1.082","10.003","3.89","35.952","5.848","54.045"
"Family Medicine Physicians","0.056","12.18","1.955","16.049","3.012","24.733","7.213","59.218"
"Office Machine Operators, Except Computer","0.027","5.83","4.885","83.796","0","0","0.945","16.204"
"Massage Therapists","0.059","12.88","1.879","14.591","3.003","23.314","7.998","62.095"
"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other","0.027","5.85","1.261","21.553","3.59","61.368","0.999","17.079"
"Training and Development Specialists","0.041","9.01","0.533","5.911","4.227","46.91","4.251","47.179"
"Child, Family, and School Social Workers","0.044","9.59","1.039","10.833","3.69","38.483","4.861","50.685"
"Computer, Automated Teller, and Office Machine Repairers","0.032","6.97","3.926","56.327","0.796","11.42","2.248","32.254"
"Computer Numerically Controlled Tool Programmers","0.03","6.58","4.167","63.322","0.517","7.861","1.896","28.817"
"Travel Agents","0.029","6.37","4.262","66.907","0.382","5.991","1.726","27.101"
"Mechanical Engineers","0.048","10.5","0.479","4.558","4.16","39.62","5.861","55.822"
"Automotive Body and Related Repairers","0.035","7.66","3.188","41.623","1.408","18.375","3.064","40.002"
"Meter Readers, Utilities","0.027","5.92","4.383","74.029","0.174","2.94","1.363","23.032"
"Public Relations Specialists","0.038","8.2","1.33","16.214","3.198","39.004","3.672","44.782"
"Installation, Maintenance, and Repair Workers, All Other","0.025","5.41","4.503","83.232","0","0","0.907","16.768"
"Chemical Technicians","0.032","6.95","3.668","52.771","0.709","10.197","2.574","37.031"
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic","0.025","5.41","4.156","76.818","0.199","3.684","1.055","19.498"
